portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1441996566-venta-apartamentos-mono-1-dorm-punta-carretas-_JM,"Venta Apartamentos Mono, 1 Dorm, Punta Carretas",Proyecto,Punta Carretas,USD,120280,,1,1,62
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-769859812-nostrum-plaza-3-apartamentos-mono-1-2-y-3-dormitorios-en-tres-cruces-_JM,"Nostrum Plaza 3 | Apartamentos Mono, 1, 2 Y 3 Dormitorios En Tres Cruces",Proyecto,Tres Cruces,USD,82000,,3,1,77
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-678526990-venta-apartamento-monoambiente-1-y-2-dormitorios-en-parque-batlle-o2-tower-_JM,"Venta Apartamento Monoambiente, 1 Y 2 Dormitorios En Parque Batlle - O2 Tower",Proyecto,Parque Batlle,USD,91400,,2,1,106
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-804689036-edificio-bali-venta-apartamentos-monoambiente-y-1-dormitorio-en-pocitos-_JM,Edificio Bali. Venta Apartamentos Monoambiente Y 1 Dormitorio En Pocitos,Proyecto,Pocitos,USD,106000,,1,1,68
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-793405936-venta-apartamentos-en-nordico-kopel-sanchez-_JM,Venta Apartamentos En Nórdico - Kopel Sánchez,Proyecto,La Blanqueada,USD,107700,,2,1,83
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343261160-more-pocitos-venta-apartamentos-1-2-y-3-dormitorios-a-pasos-de-la-rambla-_JM,"More Pocitos | Venta Apartamentos 1, 2 Y 3 Dormitorios A Pasos De La Rambla",Proyecto,Pocitos,USD,149163,,1,1,105
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-801646994-venta-apartamentos-en-blend-soho-kopel-sanchez-_JM,Venta Apartamentos En Blend Soho - Kopel Sánchez,Proyecto,Palermo,USD,114100,,2,1,67
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1004395502-edificio-puerto-buceo-_JM,Edificio - Puerto Buceo,Proyecto,Puerto Buceo,USD,186000,,3,1,154
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343261114-nostrum-malvin-apartamentos-mono-1-2-y-3-dormitorios-en-malvin-_JM,"Nostrum Malvín | Apartamentos Mono, 1, 2 Y 3 Dormitorios En Malvín",Proyecto,Malvin,USD,108089,,3,1,77
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-712753478-beone-caracas-y-rivera-apartamentos-monoambientes-1-y-2-dormitorios-zona-wtc-_JM,Beone Caracas Y Rivera - Apartamentos Monoambientes 1 Y 2 Dormitorios - Zona Wtc,Proyecto,Buceo,USD,101089,,2,1,54
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343325824-flow-by-nostrum-apartamentos-2-dormitorios-en-tres-cruces-_JM,Flow By Nostrum | Apartamentos 2 Dormitorios En Tres Cruces,Proyecto,Montevideo,USD,176237,,2,1,62
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-637392223-nostrum-home-apartamentos-1-y-2-dormitorios-en-la-blanqueada-_JM,Nostrum Home | Apartamentos 1 Y 2 Dormitorios En La Blanqueada,Proyecto,La Blanqueada,USD,112200,,1,1,86
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-740573896-more-buceo-apartamentos-2-y-3-dormitorios-en-buceo-_JM,More Buceo | Apartamentos 2 Y 3 Dormitorios En Buceo,Proyecto,Buceo,USD,276000,,2,2,327
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343325758-nostrum-uruguay-apartamentos-mono-1-2-y-3-dormitorios-en-el-centro-_JM,"Nostrum Uruguay | Apartamentos Mono, 1, 2 Y 3 Dormitorios En El Centro",Proyecto,Centro,USD,102357,,3,1,71
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343261174-nostrum-garden-apartamentos-mono-1-y-2-dormitorios-en-el-prado-_JM,"Nostrum Garden | Apartamentos Mono, 1 Y 2 Dormitorios En El Prado",Proyecto,Prado,USD,97479,,2,1,83
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-713196532-venta-apartamentos-de-1-dormitorio-en-cordon-sur-_JM,Venta Apartamentos De 1 Dormitorio En Cordón Sur,Proyecto,Cordón,USD,114475,,1,1,42
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343261106-nostrum-plaza-2-apartamentos-2-y-3-dormitorios-en-tres-cruces-_JM,Nostrum Plaza 2 | Apartamentos 2 Y 3 Dormitorios En Tres Cruces,Proyecto,Tres Cruces,USD,162781,,2,1,160
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-673931762-bilu-riviera-apartamentos-2-3-y-4-dormitorios-en-rambla-de-carrasco-_JM,"Bilú Riviera | Apartamentos 2, 3 Y 4 Dormitorios En Rambla De Carrasco",Proyecto,Carrasco,USD,299000,,1,2,267
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-802273610-venta-apartamentos-en-vitra-kopel-sanchez-_JM,Venta Apartamentos En Vitra - Kopel Sánchez,Proyecto,Cordón,USD,100300,,2,1,65
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-652978793-agrupacion-ciclades-_JM,Agrupación Ciclades,Proyecto,Prado,USD,119000,,2,1,3850
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-682971256-bilu-biarritz-apartamentos-3-dormitorios-en-punta-carretas-bilu-biarritz-_JM,Bilú Biarritz | Apartamentos 3 Dormitorios En Punta Carretas - Bilú Biarritz,Proyecto,Punta Carretas,USD,510590,,3,4,141
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-719856302-hub-by-block-conectado-a-todo-monoambientes-1-y-2-dormitorios-_JM,"Hub By Block  Conectado A Todo , Monoambientes, 1 Y 2 Dormitorios",Proyecto,Cordón,USD,110400,,2,1,99
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1070749616-venta-apartamentos-en-ventura-sky-residences-kopel-sanchez-_JM,Venta Apartamentos En Ventura Sky Residences - Kopel Sánchez,Proyecto,La Blanqueada,USD,170000,,1,1,55
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-801699188-venta-apartamentos-en-ventura-uptown-kopel-sanchez-_JM,Venta Apartamentos En Ventura Uptown - Kopel Sánchez,Proyecto,Cordón,USD,110300,,2,1,70
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1346569468-venta-de-apartamentos-monoambiente-1-y-2-dormitorios-prox-wtc-_JM,"Venta De Apartamentos Monoambiente, 1 Y 2 Dormitorios Próx. Wtc",Proyecto,Pocitos Nuevo,USD,125028,,2,1,82
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-637213249-nostrum-central-apartamentos-de-2-dormitorios-en-el-centro-_JM,Nostrum Central | Apartamentos De 2 Dormitorios En El Centro,Proyecto,Centro,USD,160967,,2,1,64
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1343318100-nostrum-cordon-apartamentos-monos-1-y-2-dormitorios-en-cordon-_JM,"Nostrum Cordón | Apartamentos Monos, 1 Y 2 Dormitorios En Cordón",Proyecto,Cordón,USD,112667,,2,1,68
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-802546216-venta-apartamentos-en-winks-gaboto-kopel-sanchez-_JM,Venta Apartamentos En Winks Gaboto - Kopel Sánchez,Proyecto,Palermo,USD,147900,,1,1,75
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-667885886-life60-una-nueva-forma-de-vivir-despues-de-los-60-apartamentos-de-1-y-2-dormitorios-_JM,"Life+60 - Una Nueva Forma De Vivir, Después De Los 60. Apartamentos De 1 Y 2 Dormitorios",Proyecto,Buceo,USD,129887,,1,1,59
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-928347670-edificio-rosso-venta-apartamentos-1-y-2-dormitorios-en-cordon-sur-_JM,Edificio Rosso. Venta Apartamentos 1 Y 2 Dormitorios En Cordón Sur,Proyecto,Cordón,USD,140900,,1,1,195
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-801842108-venta-apartamentos-en-ventura-tres-cruces-il-kopel-sanchez-_JM,Venta Apartamentos En Ventura Tres Cruces Il - Kopel Sánchez,Proyecto,Cordón,USD,144400,,1,1,77
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1346600176-apartamentos-en-pozo-a-4-cuadras-de-la-rambla-_JM,Apartamentos En Pozo A 4 Cuadras De La Rambla,Proyecto,Paraguay  1222,USD,101000,,1,1,105
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-801699260-venta-apartamentos-en-winks-magallanes-kopel-sanchez-_JM,Venta Apartamentos En Winks Magallanes - Kopel Sánchez,Proyecto,Palermo,USD,121400,,2,1,76
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-801816124-beone-debritos-apartamentos-monoambientes-1-y-2-dormitorios-_JM,Beone Debritos Apartamentos Monoambientes 1 Y 2 Dormitorios,Proyecto,La Blanqueada,USD,98289,,2,1,71
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-685799217-edificio-domini-tres-cruces-venta-apartamentos-monoambiente-1-2-y-3-dormitorios-en-tres-cruces-_JM,"Edificio Dómini Tres Cruces. Venta Apartamentos Monoambiente, 1, 2 Y 3 Dormitorios En Tres Cruces",Proyecto,Tres Cruces,USD,116000,,3,1,115
MercadoLibre,venta,https://inmueble.mercadolibre.com.uy/MLU-1343325830-venta-de-oficias-en-rambla-de-carrasco-smart-riviera-_JM,"Venta De Oficias En Rambla De Carrasco, Smart Riviera",Proyecto,Carrasco,USD,222921,,,1,1403
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1428454174-edificio-delta-blanes-venta-apartamentos-1-y-2-dormitorios-en-cordon-_JM,Edificio Delta Blanes. Venta Apartamentos 1 Y 2 Dormitorios En Cordón,Proyecto,Cordón,USD,133000,,1,1,111
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-665049319-apartamentos-a-estrenar-sobre-rambla-de-carrasco-edificio-dominus-rambla-con-cochera-doble-parrillero-piscina-gimnasio-y-seguridad-24hs-_JM,"Apartamentos A Estrenar Sobre Rambla De Carrasco, Edificio Dominus Rambla Con Cochera Doble, Parrillero, Piscina, Gimnasio Y Seguridad 24hs",Proyecto,Carrasco,USD,159000,,2,1,108
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1362312398-altamira-libertad-venta-apartamentos-monoambiente-1-2-y-3-dormitorios-garajes-pocitos-_JM,"Altamira Libertad, Venta Apartamentos Monoambiente, 1, 2 Y 3 Dormitorios. Garajes, Pocitos",Proyecto,Pocitos,USD,168053,,1,1,184
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-670246094-venta-de-apartamentos-beat-3-cruces-_JM,"Venta De Apartamentos, Beat 3 Cruces",Proyecto,Tres Cruces,USD,89550,,2,1,84
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1322334366-lumen-apartamentos-1-2-dormitorios-y-monoambientes-_JM,"Lumen - Apartamentos 1, 2 Dormitorios Y Monoambientes",Proyecto,Buceo,USD,90128,,2,1,116
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-824566590-brusco-centro-apartamentos-estudio-1-y-2-dormitorios-excelente-ubicacion-en-un-complejo-donde-podras-habitar-trabajar-estudiar-y-entrenar-todo-en-un-mismo-lugar-_JM,"Brusco | Centro: Apartamentos Estudio, 1 Y 2 Dormitorios. Excelente Ubicación En Un Complejo Donde Podrás Habitar, Trabajar, Estudiar Y Entrenar, Todo En Un Mismo Lugar",Proyecto,Centro,USD,146370,,2,1,64
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-665043999-doo-rodo-venta-de-apartamentos-de-1-y-2-dormitorios-cordon-_JM,"Doo Rodó Venta De Apartamentos De 1 Y 2 Dormitorios, Cordón",Proyecto,Cordón,USD,125200,,1,1,99
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-736317616-miraf-arenal-proyecto-de-construccion-tradicional-_JM,Miraf Arenal Proyecto De Construcción Tradicional,Proyecto,Cordón,USD,145000,,1,1,110
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1362308802-altamira-tres-cruces-venta-apartamentos-monoambiente-1-2-y-3-dormitorios-garajes-_JM,"Altamira Tres Cruces, Venta Apartamentos Monoambiente, 1, 2 Y 3 Dormitorios. Garajes",Proyecto,Tres Cruces,USD,96350,,3,1,94
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-692253009-yes-plaza-varela-apartamentos-1-y-2-dormitorios-monos-_JM,Yes! Plaza Varela Apartamentos 1 Y 2 Dormitorios + Monos,Proyecto,Pocitos,USD,132300,,2,1,86
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1141371490-doo-bravo-venta-apartamentos-de-1-y-2-dormitorios-en-la-esquina-de-maldonado-y-yaro-cordon-_JM,"Doo Bravo - Venta Apartamentos De 1 Y 2 Dormitorios En La Esquina De Maldonado Y Yaro, Cordón",Proyecto,Cordón,USD,132500,,1,1,76
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1329347152-now-salterain-apartamentos-1-y-2-dormitorios-monos-_JM,Now Salterain Apartamentos 1 Y 2 Dormitorios + Monos,Proyecto,Cordón,USD,110000,,2,1,75
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1349694216-yes-sarmiento-apartamentos-1-y-2-dormitorios-_JM,Yes! Sarmiento Apartamentos 1 Y 2 Dormitorios,Proyecto,Punta Carretas,USD,150000,,1,1,118
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1195195738-apartamentos-de-3-y-4-dormitorios-a-estrenar-con-jardin-balcon-parrillero-garage-subterraneo-y-piscina-a-dos-cuadras-del-carrasco-lawn-tennis-_JM,"Apartamentos De 3 Y 4 Dormitorios A Estrenar Con Jardín, Balcón, Parrillero, Garage Subterráneo Y Piscina A Dos Cuadras Del Carrasco Lawn Tennis",Proyecto,Carrasco,USD,1100000,,3,3,235
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1349693278-yes-21-apartamentos-1-dormitorio-_JM,Yes! 21 Apartamentos 1 Dormitorio,Proyecto,Parque Rodó,USD,168000,,1,1,102
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-637333912-venta-apartamento-una-torre-a-otra-altura-_JM,Venta Apartamento Una Torre A Otra Altura,Proyecto,Buceo,USD,92000,,2,1,85
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-848762154-rivera-malvin-apartamentos-en-venta-monoambientes-1-y-2-dormitorios-_JM,"Rivera Malvín Apartamentos En Venta Monoambientes, 1 Y 2 Dormitorios",Proyecto,Malvin,USD,98000,,2,1,81
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-639558247-venta-apartamentos-parque-batlle-en-lo-mejor-de-avenida-ponce-_JM,Venta Apartamentos Parque Batlle En Lo Mejor De Avenida Ponce,Proyecto,Parque Batlle,USD,112000,,1,1,52
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-848918146-ensenada-apartamentos-en-venta-la-blanqueada-_JM,Ensenada Apartamentos En Venta La Blanqueada,Proyecto,La Blanqueada,USD,142500,,2,1,63
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-848736248-ombu-avenida-apartamentos-en-venta-parque-batlle-_JM,Ombú Avenida Apartamentos En Venta Parque Batlle,Proyecto,Parque Batlle,USD,97400,,1,1,54
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-683263620-venta-apartamentos-1-y-2-dormitorios-proyecto-calyptus-1440-_JM,Venta Apartamentos 1 Y 2 Dormitorios. Proyecto Calyptus 1440,Proyecto,Parque Batlle,USD,143841,,1,1,126
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-996049960-apartamentos-monoambientes-1-y-2-dormitorios-en-venta-la-vasca-suites-pocitos-_JM,"Apartamentos Monoambientes, 1 Y 2 Dormitorios En Venta La Vasca Suites Pocitos",Proyecto,Pocitos,USD,115700,,2,1,92
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-678477070-venta-apartamento-mono-1-y-2-dormitorios-en-parque-batlle-proyecto-grou-habitat-_JM,"Venta Apartamento Mono, 1 Y 2 Dormitorios En Parque Batlle - Proyecto Grou Habitat",Proyecto,Parque Batlle,USD,97900,,2,1,58
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1001354454-urban-xi-pocitos-nuevo-_JM,Urban Xi - Pocitos Nuevo,Proyecto,Pocitos Nuevo,USD,173000,,1,1,65
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-802195942-green-concept-torre-parque-_JM,Green Concept - Torre Parque,Proyecto,Carrasco,USD,157812,,1,1,113
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-760811862-me-el-nuevo-icono-de-arquitectura-frente-al-puerto-del-buceo-id-5821-_JM,"Âme, El Nuevo Ícono De Arquitectura Frente Al Puerto Del Buceo Id 5821",Proyecto,Puerto Buceo,USD,2087950,,3,4,733
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-690351800-carrasco-boating-unidades-de-1-2-3-y-4-dormitorios-_JM,"Carrasco Boating: Unidades De 1, 2, 3 Y 4 Dormitorios",Proyecto,Carrasco,USD,282000,,1,1,212
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1051272344-be-caracas-y-rivera-_JM,Be Caracas Y Rivera,Proyecto,Pocitos Nuevo,USD,115900,,1,1,39
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-847019470-apartamentos-1-a-3-dormitorios-en-puerto-del-buceo-_JM,Apartamentos 1 A 3 Dormitorios En Puerto Del Buceo,Proyecto,Puerto Buceo,USD,234300,,3,1,108
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-777859948-venta-de-oficinas-con-renta-a-estrenar-en-cordon-sur-_JM,Venta De Oficinas Con Renta A Estrenar En Cordón Sur,Proyecto,Cordón,USD,124400,,,1,50
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1435917980-venta-apartamentos-de-un-dormitorio-en-la-blanqueada-con-balcon-entrega-inmediata-_JM,Venta Apartamentos De Un Dormitorio En La Blanqueada Con Balcón Entrega Inmediata,Proyecto,La Blanqueada,USD,122000,,1,1,52
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-826945532-exclusivo-proyecto-premium-frente-al-golf-_JM,Exclusivo Proyecto Premium Frente Al Golf,Proyecto,Punta Carretas,USD,1672400,,3,5,630
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-696063836-urban-suites-x-venta-de-apartamentos-en-pozo-_JM,Urban Suites X - Venta De Apartamentos En Pozo,Proyecto,Pocitos Nuevo,USD,178000,,1,1,42
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1004305198-urban-xii-pocitos-nuevo-_JM,Urban Xii - Pocitos Nuevo,Proyecto,Pocitos Nuevo,USD,184000,,1,1,39
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-747371550-urban-punta-carretas-iv-_JM,Urban Punta Carretas Iv,Proyecto,Punta Carretas,USD,349000,,2,1,101
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-747163502-venta-en-pozo-1-dormitorio-cordon-sur-_JM,Venta En Pozo 1 Dormitorio Cordón Sur,Proyecto,Cordón,USD,125000,,1,1,45
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-766396360-edificio-los-olimpicos-monoambientes-1-y-2-dormitorios-la-blanqueada-_JM,"Edificio Los Olimpicos - Monoambientes, 1 Y 2 Dormitorios La Blanqueada",Proyecto,La Blanqueada,USD,114000,,,1,31
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-802130826-venta-apartamentos-en-cosmopolitan-kopel-sanchez-_JM,Venta Apartamentos En Cosmopolitan - Kopel Sánchez,Proyecto,Parque Rodó,USD,114200,,3,1,110
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-766331346-edificio-en-venta-monoambientes-y-1-dormitorio-piscina-garaje-la-blanqueada-_JM,Edificio En Venta Monoambientes Y 1 Dormitorio Piscina Garaje La Blanqueada,Proyecto,La Blanqueada,USD,108000,,1,1,45
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-739182204-delta-rodo-_JM,Delta Rodó,Proyecto,Cordón,USD,131000,,1,1,62
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-796603594-proyecto-neue-unidades-amplias-de-1-y-2-dormitorios-_JM,Proyecto Neue - Unidades Amplias De 1 Y 2 Dormitorios,Proyecto,La Blanqueada,USD,134200,,1,1,74
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-720634260-patios-de-rodo-_JM,Patios De Rodó,Proyecto,Cordón,USD,125000,,1,1,110
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-766331344-edificio-en-venta-1-y-2-dormitorios-monoambientes-amenities-garaje-cordon-_JM,Edificio En Venta 1 Y 2 Dormitorios Monoambientes Amenities Garaje Cordón,Proyecto,Cordón,USD,110400,,2,1,61
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-754703606-move-city-_JM,Move City,Proyecto,Buceo,USD,145000,,1,1,76
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-754508660-domini-house-_JM,Domini House,Proyecto,Cordón,USD,111000,,2,1,66
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-661384319-venta-apartamentos-monoambiente-de-1-y-2-dormitorios-_JM,Venta Apartamentos Monoambiente De 1 Y 2 Dormitorios,Proyecto,La Blanqueada,USD,98450,,1,1,46
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-740547116-delta-centenario-_JM,Delta Centenario,Proyecto,La Blanqueada,USD,120000,,2,1,58
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-754716706-domini-avenida-_JM,Domini Avenida,Proyecto,La Blanqueada,USD,110200,,2,1,60
